Date,Open,High,Low,Close,Vol,BidAsk
2022-10-27 00:00:00,11498.25,11500.0,11497.0,11499.5,113,3
2022-10-27 00:01:00,11499.0,11499.0,11494.75,11496.25,64,-21
2022-10-27 00:02:00,11495.75,11497.25,11494.25,11494.25,72,-29
2022-10-27 00:03:00,11494.5,11496.75,11493.25,11493.25,108,18
2022-10-27 00:04:00,11493.75,11496.5,11493.5,11494.75,110,15
2022-10-27 00:05:00,11494.5,11495.5,11493.0,11495.5,88,-4
2022-10-27 00:06:00,11495.0,11499.5,11495.0,11498.5,78,32
2022-10-27 00:07:00,11498.5,11498.75,11495.25,11497.25,45,-13
2022-10-27 00:08:00,11497.0,11497.25,11495.5,11496.25,83,-21
2022-10-27 00:09:00,11495.75,11498.25,11495.0,11497.25,115,3
2022-10-27 00:10:00,11497.5,11498.75,11497.25,11498.5,19,9
2022-10-27 00:11:00,11499.0,11500.75,11498.75,11499.0,103,7
2022-10-27 00:12:00,11499.5,11500.75,11498.0,11499.25,61,-12
2022-10-27 00:13:00,11499.25,11500.0,11497.75,11498.0,52,-30
2022-10-27 00:14:00,11498.5,11500.0,11497.5,11499.5,24,4
2022-10-27 00:15:00,11499.0,11500.75,11498.75,11499.25,84,9
2022-10-27 00:16:00,11498.75,11499.0,11495.5,11497.0,60,-33
2022-10-27 00:17:00,11497.5,11499.25,11497.25,11498.75,24,2
2022-10-27 00:18:00,11498.75,11498.75,11496.25,11496.75,18,-9
2022-10-27 00:19:00,11497.0,11499.0,11495.5,11498.75,44,8
2022-10-27 00:20:00,11498.25,11499.0,11497.25,11498.25,15,-1
2022-10-27 00:21:00,11497.75,11498.75,11497.25,11498.75,10,2
2022-10-27 00:22:00,11497.75,11498.75,11497.75,11498.75,15,-5
2022-10-27 00:23:00,11499.25,11502.0,11499.0,11499.75,78,55
2022-10-27 00:24:00,11500.25,11500.25,11499.25,11499.25,13,-4
2022-10-27 00:25:00,11499.75,11501.5,11498.25,11498.5,35,-7
2022-10-27 00:26:00,11499.0,11500.0,11499.0,11499.0,13,2
2022-10-27 00:27:00,11499.25,11499.25,11497.25,11498.5,30,-16
2022-10-27 00:28:00,11498.75,11501.0,11497.5,11500.25,78,8
2022-10-27 00:29:00,11501.0,11502.5,11500.75,11501.25,59,21
2022-10-27 00:30:00,11501.0,11501.5,11497.0,11498.75,59,-45
2022-10-27 00:31:00,11498.75,11500.25,11498.75,11499.75,16,12
2022-10-27 00:32:00,11500.0,11500.0,11498.0,11498.0,18,-5
2022-10-27 00:33:00,11498.25,11500.0,11497.75,11500.0,22,-2
2022-10-27 00:34:00,11499.0,11499.0,11496.0,11496.0,54,-48
2022-10-27 00:35:00,11496.75,11498.75,11495.5,11495.75,47,-11
2022-10-27 00:36:00,11495.25,11496.5,11494.5,11495.0,35,-9
2022-10-27 00:37:00,11494.25,11494.25,11490.0,11491.25,136,-57
2022-10-27 00:38:00,11491.5,11493.0,11491.0,11493.0,66,17
2022-10-27 00:39:00,11492.5,11494.5,11492.0,11494.0,50,-10
2022-10-27 00:40:00,11493.25,11497.5,11492.75,11497.25,73,30
2022-10-27 00:41:00,11497.25,11497.75,11495.0,11495.25,70,-10
2022-10-27 00:42:00,11495.5,11497.25,11495.25,11496.25,21,8
2022-10-27 00:43:00,11496.25,11496.75,11495.0,11496.25,38,6
2022-10-27 00:44:00,11495.5,11495.5,11492.25,11492.25,48,-16
2022-10-27 00:45:00,11492.5,11493.0,11490.25,11491.5,91,0
2022-10-27 00:46:00,11491.0,11491.0,11489.0,11490.0,80,-9
2022-10-27 00:47:00,11490.25,11495.75,11490.25,11495.5,54,32
2022-10-27 00:48:00,11494.75,11496.75,11494.25,11496.75,43,15
2022-10-27 00:49:00,11496.0,11499.0,11496.0,11496.0,53,10
