Date,BidAsk,Vol,Open,High,Low,Close
2022-10-27 00:00:00,-47,21.0,11498.25,11500.0,11494.25,11494.25
2022-10-27 00:03:00,29,3.0,11494.5,11496.75,11493.0,11495.5
2022-10-27 00:06:00,-2,11.0,11495.0,11499.5,11495.0,11496.25
2022-10-27 00:09:00,19,8.0,11495.75,11500.75,11495.0,11499.0
2022-10-27 00:12:00,-38,4.0,11499.5,11500.75,11497.5,11499.5
2022-10-27 00:15:00,-22,7.0,11499.0,11500.75,11495.5,11498.75
2022-10-27 00:18:00,-2,4.0,11498.75,11499.0,11495.5,11498.25
2022-10-27 00:21:00,52,3.0,11497.75,11502.0,11497.25,11499.75
2022-10-27 00:24:00,-9,2.0,11500.25,11501.5,11498.25,11499.0
2022-10-27 00:27:00,13,15.0,11499.25,11502.5,11497.25,11501.25
2022-10-27 00:30:00,-38,2.0,11501.0,11501.5,11497.0,11498.0
2022-10-27 00:33:00,-61,3.0,11498.25,11500.0,11495.5,11495.75
2022-10-27 00:36:00,-49,12.0,11495.25,11496.5,11490.0,11493.0
2022-10-27 00:39:00,10,14.0,11492.5,11497.75,11492.0,11495.25
2022-10-27 00:42:00,-2,16.0,11495.5,11497.25,11492.25,11492.25
2022-10-27 00:45:00,23,4.0,11492.5,11495.75,11489.0,11495.5
2022-10-27 00:48:00,27,4.0,11494.75,11499.0,11494.25,11497.75
2022-10-27 00:51:00,18,6.0,11497.75,11499.5,11495.75,11496.5
2022-10-27 00:54:00,65,5.0,11497.0,11503.25,11496.75,11503.0
2022-10-27 00:57:00,21,6.0,11503.25,11505.5,11500.5,11502.0
2022-10-27 01:00:00,-22,23.0,11502.0,11503.0,11497.25,11499.0
2022-10-27 01:03:00,-73,7.0,11499.25,11500.0,11492.0,11493.25
2022-10-27 01:06:00,-48,3.0,11492.5,11496.0,11488.25,11494.25
2022-10-27 01:09:00,-26,3.0,11494.5,11495.0,11488.5,11491.0
2022-10-27 01:12:00,-5,3.0,11491.0,11495.5,11486.25,11492.75
2022-10-27 01:15:00,-19,3.0,11492.25,11493.0,11488.5,11488.75
2022-10-27 01:18:00,-22,3.0,11490.0,11490.5,11484.5,11484.5
2022-10-27 01:21:00,13,3.0,11484.0,11488.75,11481.25,11487.75
2022-10-27 01:24:00,2,4.0,11487.75,11492.0,11484.75,11485.0
2022-10-27 01:27:00,4,2.0,11485.25,11487.25,11482.25,11486.25
2022-10-27 01:30:00,4,3.0,11485.5,11488.75,11483.5,11488.0
2022-10-27 01:33:00,92,14.0,11487.75,11498.75,11487.25,11497.5
2022-10-27 01:36:00,149,5.0,11496.75,11509.0,11495.25,11504.5
2022-10-27 01:39:00,227,7.0,11504.25,11517.0,11502.0,11512.5
2022-10-27 01:42:00,-16,4.0,11512.75,11514.75,11509.25,11513.25
2022-10-27 01:45:00,14,5.0,11513.75,11517.25,11510.75,11512.25
2022-10-27 01:48:00,-44,8.0,11512.0,11513.0,11506.25,11506.75
2022-10-27 01:51:00,27,6.0,11506.5,11511.75,11506.5,11511.5
2022-10-27 01:54:00,7,3.0,11511.0,11515.75,11508.5,11511.0
2022-10-27 01:57:00,-19,10.0,11510.25,11511.0,11507.25,11510.5
2022-10-27 02:00:00,-96,10.0,11510.0,11515.25,11502.0,11508.75
2022-10-27 02:03:00,-37,6.0,11509.0,11509.0,11498.25,11500.75
2022-10-27 02:06:00,21,17.0,11501.5,11503.0,11498.75,11501.0
2022-10-27 02:09:00,-172,5.0,11501.75,11504.5,11494.5,11497.0
2022-10-27 02:12:00,25,5.0,11496.0,11499.25,11491.75,11495.75
2022-10-27 02:15:00,32,5.0,11495.75,11500.0,11490.5,11492.75
2022-10-27 02:18:00,13,3.0,11493.0,11499.25,11493.0,11496.0
2022-10-27 02:21:00,-85,9.0,11495.5,11497.25,11482.25,11484.25
2022-10-27 02:24:00,-15,7.0,11484.75,11497.25,11475.5,11494.5
2022-10-27 02:27:00,-36,2.0,11494.5,11495.25,11486.25,11490.5
2022-10-27 02:30:00,-229,12.0,11491.0,11491.0,11471.75,11474.25
2022-10-27 02:33:00,-46,6.0,11474.0,11477.25,11466.0,11473.75
2022-10-27 02:36:00,-37,5.0,11473.25,11473.5,11466.5,11468.25
2022-10-27 02:39:00,59,10.0,11469.25,11472.75,11463.75,11472.0
2022-10-27 02:42:00,-148,24.0,11471.75,11473.25,11459.0,11462.25
2022-10-27 02:45:00,26,3.0,11462.25,11474.0,11461.75,11469.25
2022-10-27 02:48:00,-28,4.0,11469.25,11469.25,11464.75,11467.0
2022-10-27 02:51:00,42,6.0,11467.0,11473.0,11465.5,11469.25
2022-10-27 02:54:00,-42,3.0,11468.25,11471.5,11459.5,11471.0
2022-10-27 02:57:00,-112,19.0,11471.0,11471.25,11455.5,11459.5
2022-10-27 03:00:00,-116,19.0,11459.25,11466.5,11442.25,11453.25
2022-10-27 03:03:00,-155,6.0,11453.25,11466.75,11447.75,11451.25
