Date,Vol,BidAsk,Price,BidAskCum
2022-10-03 04:00:00,103,-56,3601.25,1678
2022-10-03 04:00:01,13,-9,3600.25,1669
2022-10-03 04:00:02,36,-17,3599.75,1652
2022-10-03 04:00:03,21,1,3599.25,1653
2022-10-03 04:00:04,6,-4,3599.0,1649
2022-10-03 04:00:05,20,6,3599.25,1655
2022-10-03 04:00:06,18,-4,3599.0,1651
2022-10-03 04:00:07,2,-2,3598.75,1649
2022-10-03 04:00:08,7,5,3599.25,1654
2022-10-03 04:00:09,1,-1,3598.75,1653
2022-10-03 04:00:10,4,-2,3598.75,1651
2022-10-03 04:00:11,10,-2,3598.5,1649
2022-10-03 04:00:12,4,-2,3598.5,1647
2022-10-03 04:00:13,1,-1,3598.25,1646
2022-10-03 04:00:14,15,5,3598.5,1651
2022-10-03 04:00:15,1,-1,3598.25,1650
2022-10-03 04:00:16,10,2,3598.25,1652
2022-10-03 04:00:17,6,6,3598.5,1658
2022-10-03 04:00:19,28,2,3598.75,1660
2022-10-03 04:00:20,11,-3,3598.75,1657
2022-10-03 04:00:21,30,12,3599.0,1669
2022-10-03 04:00:22,6,0,3598.75,1669
2022-10-03 04:00:24,5,-2,3598.75,1667
2022-10-03 04:00:25,1,-1,3598.75,1666
2022-10-03 04:00:26,3,-3,3598.5,1663
2022-10-03 04:00:27,6,0,3598.25,1663
2022-10-03 04:00:28,7,3,3598.25,1666
2022-10-03 04:00:29,12,2,3598.25,1668
2022-10-03 04:00:30,8,0,3598.25,1668
2022-10-03 04:00:31,2,0,3598.25,1668
2022-10-03 04:00:32,11,-5,3598.5,1663
2022-10-03 04:00:33,28,-4,3598.0,1659
2022-10-03 04:00:34,3,3,3598.0,1662
2022-10-03 04:00:35,44,-10,3598.25,1652
2022-10-03 04:00:36,26,-9,3598.25,1643
2022-10-03 04:00:37,4,-4,3598.25,1639
2022-10-03 04:00:38,7,-3,3598.25,1636
2022-10-03 04:00:39,11,-7,3598.25,1629
2022-10-03 04:00:40,3,3,3598.25,1632
2022-10-03 04:00:41,1,-1,3598.25,1631
2022-10-03 04:00:42,21,2,3598.5,1633
2022-10-03 04:00:43,20,-13,3598.25,1620
2022-10-03 04:00:45,18,0,3598.25,1620
2022-10-03 04:00:47,39,5,3598.5,1625
2022-10-03 04:00:48,36,6,3598.5,1631
2022-10-03 04:00:50,25,-6,3598.5,1625
2022-10-03 04:00:51,6,5,3597.75,1630
2022-10-03 04:00:52,16,5,3598.0,1635
